"N","min(GlobalNodeId)","q1(GlobalNodeId)","med(GlobalNodeId)","q3(GlobalNodeId)","max(GlobalNodeId)","avg(GlobalNodeId)","std(GlobalNodeId)","min(PedigreeNodeId)","q1(PedigreeNodeId)","med(PedigreeNodeId)","q3(PedigreeNodeId)","max(PedigreeNodeId)","avg(PedigreeNodeId)","std(PedigreeNodeId)","min(nodal_Cauchy_Stress_1_1)","q1(nodal_Cauchy_Stress_1_1)","med(nodal_Cauchy_Stress_1_1)","q3(nodal_Cauchy_Stress_1_1)","max(nodal_Cauchy_Stress_1_1)","avg(nodal_Cauchy_Stress_1_1)","std(nodal_Cauchy_Stress_1_1)","min(nodal_Cauchy_Stress_1_2)","q1(nodal_Cauchy_Stress_1_2)","med(nodal_Cauchy_Stress_1_2)","q3(nodal_Cauchy_Stress_1_2)","max(nodal_Cauchy_Stress_1_2)","avg(nodal_Cauchy_Stress_1_2)","std(nodal_Cauchy_Stress_1_2)","min(nodal_Cauchy_Stress_1_3)","q1(nodal_Cauchy_Stress_1_3)","med(nodal_Cauchy_Stress_1_3)","q3(nodal_Cauchy_Stress_1_3)","max(nodal_Cauchy_Stress_1_3)","avg(nodal_Cauchy_Stress_1_3)","std(nodal_Cauchy_Stress_1_3)","min(nodal_Cauchy_Stress_2_1)","q1(nodal_Cauchy_Stress_2_1)","med(nodal_Cauchy_Stress_2_1)","q3(nodal_Cauchy_Stress_2_1)","max(nodal_Cauchy_Stress_2_1)","avg(nodal_Cauchy_Stress_2_1)","std(nodal_Cauchy_Stress_2_1)","min(nodal_Cauchy_Stress_2_2)","q1(nodal_Cauchy_Stress_2_2)","med(nodal_Cauchy_Stress_2_2)","q3(nodal_Cauchy_Stress_2_2)","max(nodal_Cauchy_Stress_2_2)","avg(nodal_Cauchy_Stress_2_2)","std(nodal_Cauchy_Stress_2_2)","min(nodal_Cauchy_Stress_2_3)","q1(nodal_Cauchy_Stress_2_3)","med(nodal_Cauchy_Stress_2_3)","q3(nodal_Cauchy_Stress_2_3)","max(nodal_Cauchy_Stress_2_3)","avg(nodal_Cauchy_Stress_2_3)","std(nodal_Cauchy_Stress_2_3)","min(nodal_Cauchy_Stress_3_1)","q1(nodal_Cauchy_Stress_3_1)","med(nodal_Cauchy_Stress_3_1)","q3(nodal_Cauchy_Stress_3_1)","max(nodal_Cauchy_Stress_3_1)","avg(nodal_Cauchy_Stress_3_1)","std(nodal_Cauchy_Stress_3_1)","min(nodal_Cauchy_Stress_3_2)","q1(nodal_Cauchy_Stress_3_2)","med(nodal_Cauchy_Stress_3_2)","q3(nodal_Cauchy_Stress_3_2)","max(nodal_Cauchy_Stress_3_2)","avg(nodal_Cauchy_Stress_3_2)","std(nodal_Cauchy_Stress_3_2)","min(nodal_Cauchy_Stress_3_3)","q1(nodal_Cauchy_Stress_3_3)","med(nodal_Cauchy_Stress_3_3)","q3(nodal_Cauchy_Stress_3_3)","max(nodal_Cauchy_Stress_3_3)","avg(nodal_Cauchy_Stress_3_3)","std(nodal_Cauchy_Stress_3_3)","min(solution_ (0))","q1(solution_ (0))","med(solution_ (0))","q3(solution_ (0))","max(solution_ (0))","avg(solution_ (0))","std(solution_ (0))","min(solution_ (1))","q1(solution_ (1))","med(solution_ (1))","q3(solution_ (1))","max(solution_ (1))","avg(solution_ (1))","std(solution_ (1))","min(solution_ (2))","q1(solution_ (2))","med(solution_ (2))","q3(solution_ (2))","max(solution_ (2))","avg(solution_ (2))","std(solution_ (2))","min(solution_ (Magnitude))","q1(solution_ (Magnitude))","med(solution_ (Magnitude))","q3(solution_ (Magnitude))","max(solution_ (Magnitude))","avg(solution_ (Magnitude))","std(solution_ (Magnitude))","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,0.00000e+00
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-4.34269e-01,-4.34269e-01,-4.34269e-01,-4.34269e-01,-4.34269e-01,-4.34269e-01,0.00000e+00,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,0.00000e+00,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,0.00000e+00,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,1.61683e-04,0.00000e+00,-1.96983e-02,-1.96983e-02,-1.96983e-02,-1.96983e-02,-1.96983e-02,-1.96983e-02,0.00000e+00,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,0.00000e+00,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,1.43556e-05,0.00000e+00,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,-2.33911e-04,0.00000e+00,-1.45716e-03,-1.45716e-03,-1.45716e-03,-1.45716e-03,-1.45716e-03,-1.45716e-03,0.00000e+00,7.09026e-06,7.09026e-06,7.09026e-06,7.09026e-06,7.09026e-06,7.09026e-06,0.00000e+00,-4.32652e-06,-4.32652e-06,-4.32652e-06,-4.32652e-06,-4.32652e-06,-4.32652e-06,0.00000e+00,-3.47162e-03,-3.47162e-03,-3.47162e-03,-3.47162e-03,-3.47162e-03,-3.47162e-03,0.00000e+00,3.47163e-03,3.47163e-03,3.47163e-03,3.47163e-03,3.47163e-03,3.47163e-03,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,5.32371e-02
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-6.58977e-01,-6.58977e-01,-6.58977e-01,-6.58977e-01,-6.58977e-01,-6.58977e-01,0.00000e+00,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,0.00000e+00,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,0.00000e+00,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,4.95324e-04,0.00000e+00,-3.83402e-02,-3.83402e-02,-3.83402e-02,-3.83402e-02,-3.83402e-02,-3.83402e-02,0.00000e+00,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,0.00000e+00,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,8.73884e-05,0.00000e+00,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,-7.59797e-04,0.00000e+00,-3.38470e-03,-3.38470e-03,-3.38470e-03,-3.38470e-03,-3.38470e-03,-3.38470e-03,0.00000e+00,1.22831e-05,1.22831e-05,1.22831e-05,1.22831e-05,1.22831e-05,1.22831e-05,0.00000e+00,-5.68654e-06,-5.68654e-06,-5.68654e-06,-5.68654e-06,-5.68654e-06,-5.68654e-06,0.00000e+00,-7.13483e-03,-7.13483e-03,-7.13483e-03,-7.13483e-03,-7.13483e-03,-7.13483e-03,0.00000e+00,7.13484e-03,7.13484e-03,7.13484e-03,7.13484e-03,7.13484e-03,7.13484e-03,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,7.81273e-02
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-8.09753e-01,-8.09753e-01,-8.09753e-01,-8.09753e-01,-8.09753e-01,-8.09753e-01,0.00000e+00,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,0.00000e+00,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,0.00000e+00,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,9.08407e-04,0.00000e+00,-5.73271e-02,-5.73271e-02,-5.73271e-02,-5.73271e-02,-5.73271e-02,-5.73271e-02,0.00000e+00,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,0.00000e+00,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,1.94195e-04,0.00000e+00,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,-1.42262e-03,0.00000e+00,-5.59920e-03,-5.59920e-03,-5.59920e-03,-5.59920e-03,-5.59920e-03,-5.59920e-03,0.00000e+00,1.68669e-05,1.68669e-05,1.68669e-05,1.68669e-05,1.68669e-05,1.68669e-05,0.00000e+00,-6.05220e-06,-6.05220e-06,-6.05220e-06,-6.05220e-06,-6.05220e-06,-6.05220e-06,0.00000e+00,-1.10125e-02,-1.10125e-02,-1.10125e-02,-1.10125e-02,-1.10125e-02,-1.10125e-02,0.00000e+00,1.10125e-02,1.10125e-02,1.10125e-02,1.10125e-02,1.10125e-02,1.10125e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,9.30279e-02
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-9.27873e-01,-9.27873e-01,-9.27873e-01,-9.27873e-01,-9.27873e-01,-9.27873e-01,0.00000e+00,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,0.00000e+00,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,0.00000e+00,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,1.37500e-03,0.00000e+00,-7.72485e-02,-7.72485e-02,-7.72485e-02,-7.72485e-02,-7.72485e-02,-7.72485e-02,0.00000e+00,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,0.00000e+00,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,3.29324e-04,0.00000e+00,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,-2.17726e-03,0.00000e+00,-8.02655e-03,-8.02655e-03,-8.02655e-03,-8.02655e-03,-8.02655e-03,-8.02655e-03,0.00000e+00,2.12563e-05,2.12563e-05,2.12563e-05,2.12563e-05,2.12563e-05,2.12563e-05,0.00000e+00,-6.10257e-06,-6.10257e-06,-6.10257e-06,-6.10257e-06,-6.10257e-06,-6.10257e-06,0.00000e+00,-1.51604e-02,-1.51604e-02,-1.51604e-02,-1.51604e-02,-1.51604e-02,-1.51604e-02,0.00000e+00,1.51604e-02,1.51604e-02,1.51604e-02,1.51604e-02,1.51604e-02,1.51604e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.03522e-01
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-1.02895e+00,-1.02895e+00,-1.02895e+00,-1.02895e+00,-1.02895e+00,-1.02895e+00,0.00000e+00,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,0.00000e+00,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,0.00000e+00,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,1.87796e-03,0.00000e+00,-9.82184e-02,-9.82184e-02,-9.82184e-02,-9.82184e-02,-9.82184e-02,-9.82184e-02,0.00000e+00,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,0.00000e+00,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,4.90883e-04,0.00000e+00,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,-2.99416e-03,0.00000e+00,-1.05721e-02,-1.05721e-02,-1.05721e-02,-1.05721e-02,-1.05721e-02,-1.05721e-02,0.00000e+00,2.55769e-05,2.55769e-05,2.55769e-05,2.55769e-05,2.55769e-05,2.55769e-05,0.00000e+00,-6.19545e-06,-6.19545e-06,-6.19545e-06,-6.19545e-06,-6.19545e-06,-6.19545e-06,0.00000e+00,-1.95818e-02,-1.95818e-02,-1.95818e-02,-1.95818e-02,-1.95818e-02,-1.95818e-02,0.00000e+00,1.95818e-02,1.95818e-02,1.95818e-02,1.95818e-02,1.95818e-02,1.95818e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.11807e-01
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-1.12197e+00,-1.12197e+00,-1.12197e+00,-1.12197e+00,-1.12197e+00,-1.12197e+00,0.00000e+00,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,0.00000e+00,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,0.00000e+00,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,2.41300e-03,0.00000e+00,-1.20591e-01,-1.20591e-01,-1.20591e-01,-1.20591e-01,-1.20591e-01,-1.20591e-01,0.00000e+00,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,0.00000e+00,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,6.81742e-04,0.00000e+00,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,-3.86516e-03,0.00000e+00,-1.31873e-02,-1.31873e-02,-1.31873e-02,-1.31873e-02,-1.31873e-02,-1.31873e-02,0.00000e+00,2.99395e-05,2.99395e-05,2.99395e-05,2.99395e-05,2.99395e-05,2.99395e-05,0.00000e+00,-6.56382e-06,-6.56382e-06,-6.56382e-06,-6.56382e-06,-6.56382e-06,-6.56382e-06,0.00000e+00,-2.43478e-02,-2.43478e-02,-2.43478e-02,-2.43478e-02,-2.43478e-02,-2.43478e-02,0.00000e+00,2.43478e-02,2.43478e-02,2.43478e-02,2.43478e-02,2.43478e-02,2.43478e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.19122e-01
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-1.21126e+00,-1.21126e+00,-1.21126e+00,-1.21126e+00,-1.21126e+00,-1.21126e+00,0.00000e+00,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,0.00000e+00,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,0.00000e+00,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,2.97322e-03,0.00000e+00,-1.44468e-01,-1.44468e-01,-1.44468e-01,-1.44468e-01,-1.44468e-01,-1.44468e-01,0.00000e+00,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,0.00000e+00,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,9.04712e-04,0.00000e+00,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,-4.77822e-03,0.00000e+00,-1.58051e-02,-1.58051e-02,-1.58051e-02,-1.58051e-02,-1.58051e-02,-1.58051e-02,0.00000e+00,3.43686e-05,3.43686e-05,3.43686e-05,3.43686e-05,3.43686e-05,3.43686e-05,0.00000e+00,-7.36955e-06,-7.36955e-06,-7.36955e-06,-7.36955e-06,-7.36955e-06,-7.36955e-06,0.00000e+00,-2.94840e-02,-2.94840e-02,-2.94840e-02,-2.94840e-02,-2.94840e-02,-2.94840e-02,0.00000e+00,2.94840e-02,2.94840e-02,2.94840e-02,2.94840e-02,2.94840e-02,2.94840e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.26157e-01
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-1.29956e+00,-1.29956e+00,-1.29956e+00,-1.29956e+00,-1.29956e+00,-1.29956e+00,0.00000e+00,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,0.00000e+00,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,0.00000e+00,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,3.55284e-03,0.00000e+00,-1.69942e-01,-1.69942e-01,-1.69942e-01,-1.69942e-01,-1.69942e-01,-1.69942e-01,0.00000e+00,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,0.00000e+00,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,1.16372e-03,0.00000e+00,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,-5.72348e-03,0.00000e+00,-1.83607e-02,-1.83607e-02,-1.83607e-02,-1.83607e-02,-1.83607e-02,-1.83607e-02,0.00000e+00,3.88698e-05,3.88698e-05,3.88698e-05,3.88698e-05,3.88698e-05,3.88698e-05,0.00000e+00,-8.72801e-06,-8.72801e-06,-8.72801e-06,-8.72801e-06,-8.72801e-06,-8.72801e-06,0.00000e+00,-3.50192e-02,-3.50192e-02,-3.50192e-02,-3.50192e-02,-3.50192e-02,-3.50192e-02,0.00000e+00,3.50192e-02,3.50192e-02,3.50192e-02,3.50192e-02,3.50192e-02,3.50192e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.33407e-01
1.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,2188,2188,2188,2188,2188,2.18800e+03,0.00000e+00,-1.38871e+00,-1.38871e+00,-1.38871e+00,-1.38871e+00,-1.38871e+00,-1.38871e+00,0.00000e+00,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,0.00000e+00,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,0.00000e+00,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,4.14762e-03,0.00000e+00,-1.97096e-01,-1.97096e-01,-1.97096e-01,-1.97096e-01,-1.97096e-01,-1.97096e-01,0.00000e+00,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,0.00000e+00,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,1.46387e-03,0.00000e+00,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,-6.69368e-03,0.00000e+00,-2.08017e-02,-2.08017e-02,-2.08017e-02,-2.08017e-02,-2.08017e-02,-2.08017e-02,0.00000e+00,4.34345e-05,4.34345e-05,4.34345e-05,4.34345e-05,4.34345e-05,4.34345e-05,0.00000e+00,-1.07055e-05,-1.07055e-05,-1.07055e-05,-1.07055e-05,-1.07055e-05,-1.07055e-05,0.00000e+00,-4.09840e-02,-4.09840e-02,-4.09840e-02,-4.09840e-02,-4.09840e-02,-4.09840e-02,0.00000e+00,4.09840e-02,4.09840e-02,4.09840e-02,4.09840e-02,4.09840e-02,4.09840e-02,0.00000e+00,2122,2122,2122,2122,2122,2.12200e+03,0.00000e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,5.77211e+00,0.00000e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,4.94169e+00,0.00000e+00,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,6.50000e-02,0.00000e+00,1,1.41274e-01
